अ	ɐ
श्वेत	ɕʋɐj.tɐ́
षोडशन्	ʂɐ́w.ɖɐ.ɕɐn
संकल्पाः	sɐŋ.kɐl.pɑːh
संज्ञा	sɐɲd͡ʑ.ɲɑː
संनिर्गच्छति	sɐ̃.niɾ.ɡɐt.t͡ɕʰɐ.ti
संवर्धन	sɐ̃.ʋɐɾ.dʱɐ.nɐ
सङ्गणक	ˈs̪ɐŋ.ɡɐ.ɳɐ.kɐ
सटीक	sɐ.ʈiː.kɐ
सदस्	sɐ́.dɐs
सप्त	sɐp.tɐ́
सभाजयति	sɐ.bʱɑː.d͡ʑɐ.jɐ.ti
समा	sɐ́.mɑː
सम्मुख	sɐm.mu.kʰɐ́
सर्ग	sɐɾ.ɡɐ
सवितृ	sɐ.ʋi.tŕ̩
सहस्	sɐ́.ɦɐs
साक्षिणी	sɑːk.ʂi.ɳiː
सादाः	sɑː.dɑːh
सामान्य	sɑː.mɑːn.jɐ
सावधान	sɑː.ʋɐ.dʱɑː.nɐ
सिरा	si.ɾɑ́ː
सुखिन्	su.kʰin
सुभद्र	sú.bʱɐd.ɾɐ
सुशेव	su.ɕɐ́j.ʋɐ
सुसंस्कृत	sú.sɐ̃s.kr̩.tɐ
सृक	sr̩.kɐ́
सेविका	sɐj.ʋi.kɑː
स्तरिमन्	stɐ.ɾi.mɐn
स्तुति	stu.tí
स्तौति	stɑ́ːw.ti
स्थिति	stʰí.ti
स्नायु	snɑ́ː.ju
स्पृष्ट	spr̩ʂ.ʈɐ
स्मेरता	smɐj.ɾɐ.tɑː
स्रोतस्	sɾɐ́w.tɐs
स्वर	sʋɐ́.ɾɐ
स्वर्द्	sʋɐɾd
स्वादु	sʋɑː.dú
स्वीकरोति	sʋiː.kɐ.ɾɐw.ti
हठ	ɦɐ.ʈʰɐ
हन्ति	ɦɐ́n.ti
हर्म्य	ɦɐɾ.mjɐ́
हल्	ɦɐl
हस्तिन्	ɦɐs.tín
हिन्दी	ˈɦin̪.d̪iː
हीरक	ɦiː.ɾɐ.kɐ
हृद्रोग	ɦr̩d.ɾɐw.ɡɐ́
होत्र	ɦɐwt.ɾɐ́
ह्वयति	ɦʋɐ́.jɐ.ti
𑆃𑆂	dɐw pʰjɐw.ɾi ɐh
𑆍	tɐ.lɐʋj ɐj
𑆗	t͡ɕʰʋɐ.ʈiɲ t͡ɕʰɐ
𑆡	tʰɑː.ɕi tʰɐ
𑆫	ɾɐ.kɐ ɾɐ
