-άκις	ˈa.kis
μυγαλέη	my.ɡaˈlɛ.e
μυθώδης	myˈtʰo.des
μυκήτινος	myˈke.ti.nos
μυριόφθαλμος	eˈwopʰ.tʰal.mos
μυροβαλάνινος	my.ro.baˈla.ni.nos
μυρσινίτης	myr.siˈni.tes
μόνωψ	ˈmo.nops
μόρον	ˈmo.ron
μόσχινος	ˈmos.kʰi.nos
μόχθος	ˈmokʰ.tʰos
μύλλος	ˈmyl.los
μύστις	ˈmys.tis
μύωψ	ˈmy.ops
μώριος	ˈmo.ri.os
μῆδος	ˈme.dos
νάρθηξ	ˈnar.tʰeks
νάφθα	ˈnapʰ.tʰa
νέομαι	ˈnɛ.o.mɛ
νή	ne
νήπιος	ˈne.pi.os
νίνον	ˈni.non
ναί	nɛ
ναῦς	naʍs
νεκρο-	nɛ.kro
νεκύδαλλος	nɛˈky.dal.los
νευρά	newˈra
νεφεληγερέτα	nɛ.pʰɛ.le.ɡɛˈrɛ.ta
νεῖκος	ˈni.kos
νησιώτης	ne.siˈo.tes
νοέω	noˈɛ.o
νομοθετικός	no.mo.tʰɛ.tiˈkos
νοσηρός	no.seˈros
νυθός	nyˈtʰos
νυμφόληπτος	nymˈpʰo.lep.tos
νυσταγμός	nys.taɡˈmos
νότινος	ˈno.ti.nos
νῶτον	ˈno.ton
νῶϊ	ˈno.i
ξένος	ˈksɛ.nos
ξανθόλευκος	ksanˈtʰo.leʍ.kos
ξενία	ksɛˈni.a
ξηνός	kseˈnos
ξυλαλόη	ksy.laˈlo.e
ξυμπλέω	ksymˈplɛ.o
ξυνειδώς	ksy.niˈdos
ξυνός	ksyˈnos
ξύλον	ˈksy.lon
ξύω	ˈksy.o
οἰκονόμος	y.koˈno.mos
οἰνοχόη	y.noˈkʰo.e
οἰσύϊνος	yˈsy.i.nos
οἰχόμενος	yˈkʰo.mɛ.nos
οἴκησις	ˈy.ke.sis
οἴμοι	ˈy.my
οἷος	ˈ(h)y.os
οὐδέτερος	uˈdɛ.tɛ.ros
οὐλαί	uˈlɛ
οὐρέω	uˈrɛ.o
οὐρανίσκος	u.raˈnis.kos
οὔτις	ˈu.tis
οὕνεκα	ˈ(h)u.nɛ.ka
οὖς	us
πάντοσε	ˈpan.to.sɛ
πάπραξ	ˈpa.praks
πάροικος	ˈpa.ry.kos
πέζις	ˈpɛ.zis
πέλεκυς	ˈpɛ.lɛ.kys
πέμφιξ	ˈpɛm.pʰiks
πέτρινος	ˈpɛ.tri.nos
πέψις	ˈpɛp.sis
πήγνυμι	ˈpe.ɡny.mi
πήρη	ˈpe.re
πίμπλημι	ˈpim.ple.mi
πίνινος	ˈpi.ni.nos
πίων	ˈpi.on
παίζω	ˈpɛ.zo
